Character,Frequency
Wasp,45
Ghost,44
Criminal Mooks,22
Ant-Man,22
Criminal Mook,14
Luis,11
Sonny Burch,11
Pym,11
Dr. Bill Foster,9
Jimmy Woo,4
FBI Mooks,3
Janet Van Dyne,3
Ant Mooks,2
Uzman,2
Kurt,2
Truck-driver Mook,1
Teacher Mook,1
Cassie Lang,1
Agent Stoltz,1
Dave,1
