Character,Frequency
Iron Man,66
War Machine,36
Whiplash,34
Hammer Drone Mooks,25
Black Widow,14
Happy Hogan,12
Guard Mook,12
Guard Mooks,6
Justin Hammer,5
Vision,2
Prisoner Mook,1
Senator Stern,1
Police Mooks,1
Pepper Potts,1
