Character,Frequency
Captain America,62
The Winter Soldier,44
Black Widow,26
Falcon,24
SHIELD Mooks,22
Nick Fury,14
Crossbones,14
Mercenary Mooks,14
Bucky's Mooks,11
Georges Batroc,11
Hydra Mooks,10
Fake Police Mooks,8
Alexander Pierce,7
Hydra Aircraft,4
Sitwell,4
Agent 13,3
Maria Hill,2
Dr. Arnim Zola,2
Renata,1
Hydra Mook,1
Police Mooks,1
