Character,Frequency
Hulk,70
Abomination,44
Soldier Mooks,28
Cannery Mooks,7
Betty Ross,7
Soldier Tank,6
Thaddeus Ross,4
Dr. Samuel Sterns,3
Aircraft,2
Leonard Samson,2
Martial Arts Mook,1
Police Mooks,1
Guard Mook,1
