Character,Frequency
Chitauri Mooks,74
Loki,56
Thor,52
Iron Man,51
Black Widow,38
Hawkeye,37
Captain America,36
Hulk,32
Nick Fury,15
Loki's Mooks,13
Chitauri Dragon,10
SHIELD Mooks,8
Soldier Mooks,8
Maria Hill,7
SHIELD Aircraft,5
Coulson,4
Chitauri Aircraft,4
Random Mooks,3
Council,2
Police Mooks,2
Crowd Mook,1
Scientist Mook,1
Guard Mooks,1
Selvig,1
Crowd Mooks,1
Museum Mook,1
Avengers,1
Hulk cage,1
Guard Mook,1
