Character,Frequency
Captain Marvel,114
Yon-Rogg,30
Talos,21
Nick Fury,19
Skrull Mooks,17
Minn-Erva,14
Norex,13
Maria Rambeau,13
Bron-Char,10
Kree Aircraft,10
Skrull Mook,10
Kree Mooks,10
Korath,9
Supreme Intelligence,7
Att-Lass,6
Skrull Tank,3
Goose,2
Random Mooks,2
Stan Lee,1
Mar-Vell,1
Kree Dragon,1
Coulson,1
Random Mook,1
Ronan,1
