Character,Frequency
Ultron's Mooks,63
Captain America,46
Ultron,38
Iron Man,37
Hulk,24
Thor,22
Hawkeye,22
Scarlet Witch,19
Hydra Mooks,19
Quicksilver,17
Black Widow,12
Vision,10
Ulysses Klaue,3
Klaue's Mooks,3
War Machine,3
Maria Hill,2
Nick Fury,2
Avengers,2
Police Mooks,2
Mooks,1
Strucker,1
Dr. Helen Cho,1
