Character,Frequency
Captain America,53
Hydra Mooks,46
Red Skull,19
Heinz Kruger,15
Soldier Mooks,14
Hydra Tank,11
The Winter Soldier,9
Peggy Carter,7
Team Cap,6
Colonel Chester Phillips,3
Hydra Mook,2
Unnamed Mook,2
Soldier Mook,2
SHIELD Mooks,1
Nazi Mooks,1
Dr. Abraham Erskine,1
SHIELD Mook,1
Soldier Tank,1
Gilmore Hodge,1
Monk Mooks,1
Monk Mook,1
