Character,Frequency
Captain America,77
The Winter Soldier,75
Iron Man,52
Black Panther,38
Black Widow,29
Spider-Man,28
Falcon,27
Ant-Man,27
Mercenary Mooks,26
Police Mooks,23
War Machine,19
Hawkeye,17
Crossbones,16
Scarlet Witch,15
Vision,14
Zemo,11
Hydra Mook,5
Guard Mooks,4
Police Aircraft,3
Winter Soldier Mooks,2
Winter Soldier Mook,2
UN,2
Agent 13,2
Team Freedom,2
Scientist Mook,1
Howard Stark,1
Scientist Mooks,1
