Character,Frequency
Black Panther,51
Killmonger,45
Dora Milaje Mooks,16
W'Kabi Mooks,15
Klaue's Mooks,13
Okoye,13
M'Baku,13
Ulysses Klaue,12
Nakia,9
Everett Ross,8
Shuri,7
Mooks,4
W'Kabi Tanks,3
Museum guard Mooks,2
W'Kabi,2
Klaue's Mook,2
Zuri,1
Museum worker Mook,1
Jabari Mooks,1
CIA Mooks,1
