Character,Frequency
Ant-Man,57
Yellowjacket,39
Falcon,10
Bullet Ant Mooks,9
Wasp,9
Police Mooks,7
Pym,6
Guard Mooks,5
Hydra Mooks,5
Luis,3
Prisoner Mook,3
Guard Mook,3
Dave,2
Crazy Ant Mooks,1
Corporate Mook,1
Mitchell Carson,1
Kurt,1
Thomas the Tank Engine,1
