Character,Frequency
Doctor Strange,67
Zealot Mooks,45
Kaecilius,45
The Ancient One,22
Mordo,16
Dormammu,8
Cloak of Levitation,5
Daniel Drumm,4
Mugger Mooks,3
Librarian Mook,2
Wong,1
Jonathan Pangborn,1
Monk Mook,1
Dr. Christine Palmer,1
