Character,Frequency
Iron Man,69
Aldrich Killian,27
Eric Savin,21
Extremis Mooks,16
Guard Mooks,15
Iron Man Mooks,15
War Machine,15
Mandarin Aircraft,11
Ellen Brandt,10
Pepper Potts,6
Harley Keener,5
Secret Service Mook,5
Trevor Slattery,4
Happy Hogan,4
Guard Mook,3
Maya Hansen,2
President Ellis,2
Extremis Mook,2
Mook,2
Vice President,1
Good Old Mook,1
Sewing Mooks,1
Police Mook,1
Random Mooks,1
Vision,1
