Character,Frequency
Ultron's Mooks,114
Ultron,66
Captain America,60
Iron Man,49
Hulk,45
Thor,41
Scarlet Witch,33
Hydra Mooks,33
Hawkeye,30
Black Widow,26
Quicksilver,24
Vision,18
Klaue's Mooks,6
Police Mooks,6
Ultron's Mook,5
Ulysses Klaue,4
War Machine,4
Random Mooks,4
Strucker,3
Dr. Helen Cho,3
Avengers,3
Maria Hill,2
Nick Fury,2
Iron Man's Hulk Trap,2
Hydra Tank,2
Hydra Shield,2
Scientist Mook,1
Iron Man Mooks,1
Infinity stones,1
Scientist Mooks,1
Loki's Spear,1
