Character,Frequency
Thor,34
Malekith,27
Kurse,22
Marauder Mooks,21
Asgardian Mooks,21
Dark Elf Mooks,16
Loki,11
Jane Foster,7
Frigga,6
Sif,6
Volstagg,6
Asgardian Aircraft,4
Fandral,4
Dark Elf Aircraft,4
Bor,3
Frost Giant Dragon,2
Selvig,2
Aircraft,1
Heimdall,1
Odin,1
Hogun,1
Police Mooks,1
Marauder Tank,1
