Character,Frequency
Thor,97
Hela,52
Undead Mooks,44
Hulk,31
Valkyrie,28
Loki,18
Asgardian Mooks,18
Grandmaster Mooks,12
Skurge,11
Surtur,10
Muspel Mooks,9
Heimdall,8
Fenris,7
Doctor Strange,6
Grandmaster Aircraft,5
Topaz,4
Korg,4
Muspel Dragon,3
Hogun,3
Miek,3
Fandral,2
Scrapper Mooks,2
Scrapper Mook,2
Grandmaster,2
Volstagg,2
Asgardian Aircraft,1
Grandmaster's Cousin,1
Guard Mooks,1
Odin,1
Gladiator Mook,1
Tank,1
Black Widow,1
Valkyrie Mook,1
