Character,Frequency
Thor,26
Loki,24
Hawkeye,19
Chitauri Mooks,19
Iron Man,16
Hulk,14
Captain America,12
Black Widow,12
Nick Fury,7
Loki's Mooks,6
Chitauri Dragon,5
Maria Hill,2
SHIELD Mooks,2
Coulson,2
Avengers,2
SHIELD,2
Security Guard Mooks,1
SHIELD computers (Mooks),1
Aircraft Mook,1
Crowd Mooks,1
Russian Mooks,1
Vision,1
