Character,Frequency
Rocket,34
Ego,31
Star-Lord,29
Ravager Mooks,23
Yondu,22
Gamora,19
Sovereign Mooks,19
IDM,18
Nebula,12
Groot,9
Drax,8
Mantis,7
Guardians,5
Taserface,5
Orlonan Mook,2
Everything,2
Kraglin,1
Orlonan Mooks,1
Stakar Ogord,1
