Character,Frequency
Star-Lord,45
Kree Mooks,41
Gamora,35
Drax,29
Rocket,25
Ronan,19
Groot,16
Nebula,15
Kyln Guard Mooks,11
Kyln Drone Mooks,9
Korath,9
Nova Corp Mooks,8
Ravager Mooks,7
Yondu,6
Kyln Guard Mook,6
Kraglin,4
Kyln Prisoner Mooks,3
Guardians,2
Maintenance Mooks,1
Everyone,1
Kyln Drone Mook,1
Orlonan Mook,1
Carina,1
The Other,1
Kyln Prisoner Tank,1
Broker,1
Ravager Aircraft,1
