Name,Publisher
Barry Bauman,Marvel
Kerwin Korman,Marvel
Benjamin Beckley,Marvel
Darby Dean,Marvel
Tanya Trask,Marvel
Francisco Fuentes,Marvel
Megan McLaren,Marvel
Lavinia LeBlanc,Marvel
Madeleine Michaels,Marvel
Wade Wilson,Marvel
Lucky Lobo,Marvel
Trung Tuan,Marvel
Laurie Livingston,Marvel
Sui-San,Marvel
Ramon de Rico,Marvel
Broderick Bazin,Marvel
Marlene McKenna,Marvel
Carlos Cruz,Marvel
Cartier St. Croix,Marvel
Theodore Twaki,Marvel
Robbie Rodriguez,Marvel
Bouncing Betty,Marvel
Charles Cotta,Marvel
Rusty Randolph,Marvel
Rabble Rouser,Marvel
Gregson Gilbert,Marvel
Jake Jensen,Marvel
Joseph Jennings,Marvel
Carson Collier Senior,Marvel
Lady Lotus,Marvel
Dolly Donahue,Marvel
Samuel Smith,Marvel
Meat Market,Marvel
Black Brigade,Marvel
Cole Cooper,Marvel
Gabrielle Greer,Marvel
Arkadine Arcadius,Marvel
Mary Alice Anders,Marvel
"Samuel Silke, Jr.",Marvel
Laurie Lynton,Marvel
William Wagner,Marvel
Ginny Guzman,Marvel
Lin Li,Marvel
Heinrich Himmler,Marvel
Slim Smith,Marvel
Happy Hicks,Marvel
Karl Kort,Marvel
Gregory Gideon,Marvel
Man-Monster,Marvel
Boss Barker,Marvel
Cheer Chadwick,Marvel
Chris Claremont,Marvel
Marshall Muldoon,Marvel
Phil Panasci,Marvel
Doctor Dredd,Marvel
Sharon Selleck,Marvel
Manslaughter Marsdale,Marvel
Alex Alaric,Marvel
Roland Rayburn,Marvel
"James Lucas, Jr.",Marvel
Gris Gris,Marvel
Choocho Colon,Marvel
James Johnsmeyer,Marvel
Nick Nixon,Marvel
Paul Patterson,Marvel
Oliver Orwell,Marvel
Principal Philbin,Marvel
Packrat Pete,Marvel
"Jack Spears, Jr.",Marvel
"Jack Spears, Sr.",Marvel
Mao Tse Tung,Marvel
Beasts of Berlin,Marvel
Pavel Plotnick,Marvel
Lippy Louie,Marvel
Paxton Page,Marvel
Dominic Dunsinane,Marvel
Water Witch,Marvel
Stephan Szardos,Marvel
Roberta Rhodes,Marvel
Carlos Cassada,Marvel
Billy Bird,Marvel
Guns Gummy,Marvel
Sister Salvation,Marvel
Kiyoshi Kurata,Marvel
Gray Garrison,Marvel
Viktor Aleksandr Vikady,Marvel
Carlie Colon,Marvel
Master Man,Marvel
Kelly Kooliq,Marvel
Paul Provenzano,Marvel
Blake Burdick,Marvel
