Character,Titles,Codes
Scarlet Witch,"Captain America: The Winter Soldier, Avengers: Age of Ultron, Captain America: Civil War, Avengers: Infinity War, Avengers: Endgame", ilnsv
Selvig,"Thor, The Avengers, Thor: The Dark World, Avengers: Age of Ultron", dfhl
Senator Stern,"Iron Man 2, Captain America: The Winter Soldier", bi
Shocker,"Spider-Man: Homecoming", p
Shuri,"Black Panther, Avengers: Infinity War, Avengers: Endgame", osv
Sif,"Thor, Thor: The Dark World", dh
Sitwell,"Captain America: The Winter Soldier", i
Spider-Man,"Iron Man 2, Captain America: Civil War, Spider-Man: Homecoming, Avengers: Infinity War, Avengers: Endgame, Spider-Man: Far From Home", bnpsvw
Stan Lee,"Iron Man, Iron Man 2, The Avengers, Thor: The Dark World, Avengers: Age of Ultron, Captain Marvel", abfhlu
Star-Lord,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2, Avengers: Infinity War", jks
Surtur,"Thor: Ragnarok", r
T'Chaka,"Captain America: Civil War, Black Panther", no
Taserface,"Guardians of the Galaxy Vol. 2", k
Thanos,"Guardians of the Galaxy, Avengers: Age of Ultron, Avengers: Infinity War, Avengers: Endgame", jlsv
The Ancient One,"Doctor Strange, Avengers: Endgame", qv
The Collector,"Thor: The Dark World, Guardians of the Galaxy, Avengers: Infinity War", hjs
The Other,"The Avengers, Guardians of the Galaxy", fj
The Winter Soldier,"Captain America: The First Avenger, Captain America: The Winter Soldier, Ant-Man, Captain America: Civil War, Black Panther, Avengers: Infinity War, Avengers: Endgame", eimnosv
Thor,"Thor, The Avengers, Thor: The Dark World, Avengers: Age of Ultron, Doctor Strange, Thor: Ragnarok, Avengers: Infinity War, Avengers: Endgame", dfhlqrsv
Ultron,"Avengers: Age of Ultron", l
Ulysses Klaue,"Avengers: Age of Ultron, Black Panther", lo
Uzman,"Ant-Man and the Wasp", t
Valkyrie,"Thor: Ragnarok", r
Vision,"Avengers: Age of Ultron, Captain America: Civil War, Avengers: Infinity War", lns
Volstagg,"Thor, Thor: The Dark World, Thor: Ragnarok", dhr
Vulture,"Spider-Man: Homecoming", p
W'Kabi,"Black Panther", o
War Machine,"Iron Man, Iron Man 2, Iron Man 3, Avengers: Age of Ultron, Captain America: Civil War, Avengers: Infinity War, Captain Marvel, Avengers: Endgame", abglnsuv
Wasp,"Ant-Man, Ant-Man and the Wasp, Avengers: Endgame", mtv
Whiplash,"Iron Man, Iron Man 2", ab
Wong,"Doctor Strange, Avengers: Infinity War, Avengers: Endgame", qsv
Yellowjacket,"Ant-Man", m
Yondu,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2", jk
Zemo,"Captain America: Civil War", n
