first,second
Mr. Bleeker,1
Karl Stromberg,1
Prof. John Strangways,1
Kerim Bey,1
Corinne Dufour,1
Puss Feller,1
Magda,1
Capt. Forsyth,1
Tatiana Romanova,1
Lucia Sciarra,1
Madame LaPorte,1
Quist,1
Sir Hilary Bray,1
Scaramanga,1
Nancy,1
Kamran Shah,1
Pleydell-Smith,1
Dink,1
Midnight,1
Guy Haines,1
Saxby,1
Hammond,1
Linda,1
Heather,1
Tom,1
Kronsteen,1
"Fred, 2",1
Chew Mee / various,1
Log Cabin Girl,1
Henry Gupta,1
Michele,1
Contessa Teresa di Vicenzo,1
Sandor,1
Peter Franks,1
Agent Mimi,1
Xenia Onatopp,1
Liz,1
Morzeny,1
Vavra,1
Krilencu,1
Abrika,1
Brad Whitaker,1
Elliott,1
Pinder,1
Mullens,1
Heller,1
Vlad,1
Fiona Volpe,1
Willard Whyte,1
Chuck Lee,1
Francisco the Fearless,1
Mollaka,1
"Quarrel, 2",1
Rasmussen,1
Red Grant,1
Kurt,1
Saunders,1
Dr. Holly Goodhead,1
Mehmet,1
Jack Petachi,1
Mr. Slate,1
Rosika Miklos,1
Tee Hee,1
Lachaise,1
Palazzi,1
Col. Scott,1
"Johnny, 1",1
Olympe,1
Gregg Beam,1
Solitaire,1
General Bukharin,1
Plenty O'Toole,1
Pussy Galore,1
Midge,1
Kwang,1
Dr. Kaufman,1
Schatzi,1
Verity,1
Locque,1
Honey Ryder,1
Zora,1
Sierra,1
Colonel Feyador,1
Fiona,1
Clair Dowar MP,1
Frazier,1
Admiral Chuck Farrell,1
Severine,1
Clive,1
Max Denbigh,1
Mei-Lei,1
Vida,1
002,1
General Medrano,1
Jacoba Brink,1
Fanning,1
Lord Ambrose,1
"Fred, 1",1
General Georgi Koskov,1
Hai Fat,1
Captain Nash,1
Patrice,1
Drax,1
