# http://shareranks.com/7238,The-Best-Discworld-Novels,2020
Ranking,Title
1,Small Gods
2,Night Watch
3,Guards! Guards!
4,Going Postal
5,Thief of Time
6,Reaper Man
7,Feet of Clay
8,Men at Arms
9,Thud!
10,Monstrous Regiment
11,The Fifth Elephant
12,Wyrd Sisters
13,The Light Fantastic
14,Interesting Times
15,The Last Continent
16,Unseen Academicals
17,Making Money
18,Lords and Ladies
19,The Colour of Magic
20,Equal Rites
21,Sourcery
