# https://www.ranker.com/list/my-top-20-terry-pratchett-books/yaypaul,?
Ranking,Title
1,Guards! Guards!
2,Thief of Time
3,Mort
4,Night Watch
5,Small Gods
6,Moving Pictures
7,Hogfather
8,Men at Arms
9,Lords and Ladies
10,Carpe Jugulum
11,The Colour of Magic
12,The Truth
13,The Fifth Elephant
14,Reaper Man
15,Going Postal
16,Equal Rites
17,Feet of Clay
18,Jingo
19,The Light Fantastic
20,Making Money
