# https://www.usatoday.com/story/life/entertainthis/2015/03/12/5-essential-terry-pratchett-novels-you-need-to-read/77585716/,2015
Ranking,Title
1,Going Postal
2,The Colour of Magic
# 3,Good Omens
4,The Wee Free Men
5,Mort
