Title,YearStart,YearEnd,Printings,Source,Notes
Batman: Cataclysm,1998,1998,,"https://en.wikipedia.org/wiki/Batman:_Cataclysm,https://dc.fandom.com/wiki/Batman:_Cataclysm",
Injustice: Gods Among Us: Year One: Volume 1,2013,2014,,"https://www.dccomics.com/graphic-novels/injustice-gods-among-us-vol-1,https://en.wikipedia.org/wiki/Injustice:_Gods_Among_Us_(comics),https://dc.fandom.com/wiki/Injustice:_Gods_Among_Us_Vol_1",
Injustice: Gods Among Us: Year One: Volume 2,2014,2014,,"https://www.dccomics.com/graphic-novels/injustice-gods-among-us-vol-2,https://en.wikipedia.org/wiki/Injustice:_Gods_Among_Us_(comics),https://dc.fandom.com/wiki/Injustice:_Gods_Among_Us_Vol._2_(Collected)",
Injustice: Gods Among Us: Year Three: Volume 1,2014,2015,,"https://dc.fandom.com/wiki/Injustice:_Gods_Among_Us:_Year_Three_Vol._1_(Collected),https://www.dccomics.com/graphic-novels/injustice-gods-among-us-year-three-vol-1",
Batman: Legends of the Dark Knight: Shaman,1989,1990,,"https://dc.fandom.com/wiki/Batman:_Shaman,https://en.wikipedia.org/wiki/Batman:_Legends_of_the_Dark_Knight",
Batman: War Games,2004,2005,,"https://en.wikipedia.org/wiki/Batman:_War_Games,https://dc.fandom.com/wiki/Batman:_War_Games",
Joker,2008,2008,,"https://en.wikipedia.org/wiki/Joker_(graphic_novel),https://dc.fandom.com/wiki/Joker_(Graphic_Novel),https://www.dccomics.com/graphic-novels/joker",
Batman: KnightsEnd,1994,1994,,https://dc.fandom.com/wiki/KnightsEnd,
Batman: Vengeance Of Bane,1993,1995,,https://dc.fandom.com/wiki/Batman:_Vengeance_of_Bane_Vol_1,
Justice League VS Suicide Squad,2017,2017,,https://dc.fandom.com/wiki/Justice_League_vs._Suicide_Squad_Vol_1,
Batman: Scarecrow Tales,1941,2002,,https://dc.fandom.com/wiki/Batman:_Scarecrow_Tales_(Collected),
Batman: The Dark Knight Strikes Again,2001,2002,,"https://en.wikipedia.org/wiki/The_Dark_Knight_Strikes_Again,https://dc.fandom.com/wiki/Batman:_The_Dark_Knight_Strikes_Again",
Batman: Snow,2005,2005,,https://dc.fandom.com/wiki/Batman:_Snow_(Collected),
