# https://www.the-arcade.ie/2014/04/top-10-batman-graphic-novels/, 2014
Ranking,Title
10,JLA: Tower of Babel
9,Batman: Hush
8,Batman and Robin: Requiem for Damian
7,Batman Volume 1: The Court of Owls
6,Batman: The Long Halloween
5,Batman: A Death in the Family
4,Batman: The Killing Joke
3,Batman: Arkham Asylum
2,Batman: The Dark Knight Returns
1,Batman: Year One
