# https://www.scifinow.co.uk/top-tens/top-10-best-batman-graphic-novels/
Ranking,Title
10,Batman and Robin: Batman Reborn
9,Batman & Dracula: Red Rain
# 8,Batman: Son of the Demon
8,Batman: Birth of the Demon
7,Batman Black and White
6,Batman: The Killing Joke
5,Batman: The Black Mirror
4,Batman: Arkham Asylum
3,Batman: The Long Halloween
2,Batman: Year One
1,Batman: The Dark Knight Returns
