# https://www.horrorgeeklife.com/2018/04/08/10-essential-batman-comic-books/, 2018
Ranking,Title
10,Batman: Year One
9,Batman: Hush
8,"Batman: Knightfall, Part One: Broken Bat"
7,Batman: The Killing Joke
6,Batman: The Dark Knight Returns
5,Batman: The Man Who Laughs
4,Batman: Death of the Family
3,Batman: The Long Halloween
2,Batman: A Death in the Family
1,Batman: Arkham Asylum
