actor,character,named,uncredited,voice
Edward Parker,San Francisco Pedestrian,false,true,false
Robert Payen,San Francisco Pedestrian,false,true,false
Denney Pierce,Flatbed Truck Driver,false,true,false
Mason Pike,Pedestrian - 2nd unit,false,true,false
Paul Pillsbury,FBI Agent,false,true,false
Zach Prusak,Shopping Patron,false,true,false
Andre Pushkin,KGB Goon,false,true,false
Branson Quirke,College Student,false,true,false
Jeff Redlick,Pedestrian with Car,false,true,false
Michael Andrew Reed,Tourist,false,true,false
Lindy Reed-Shukla,Whale Watcher,false,true,false
Rick Richardson,SF Police,false,true,false
Sandra Dee Richardson,SF Street Pedestrian,false,true,false
Kayla Romans,Tourist,false,true,false
Vanessa Ross,Hot Jogger,false,true,false
James Haruo Saito,Whale Watcher,false,true,false
David M Sandoval Jr.,Tourist Pier 39 / Chinatown,false,false,false
Corey Semple,Pier Bystander with Headphones,false,true,false
James Siderits,Office Type,false,true,false
Patricia Simmons,Street Pedestrian,false,true,false
Candido Soto III,School Kid,false,true,false
Shawn South,Garbage Man,false,true,false
Bailey Standley,Tourist,false,true,false
James Sterling,FBI Swat,false,true,false
Thomas W. Stewart,Whale Watcher,false,true,false
Logan Taaffe,Pedestrian,false,true,false
Robert Tinsley,FBI,false,true,false
Mallorie Vanghel,Argentinian Street Vendor,false,true,false
Ronald Joe Vasquez,Cafe Patron,false,true,false
Fatimah Eye'z Verrell,Tourist,false,true,false
Etienne Vick,Whale Watcher Tourist,false,true,false
Galen G. Wathen,Pedestrian,false,true,false
Gary Watson,FBI SWAT,false,true,false
Benjamin Weaver,San Francisco Pedestrian,false,true,false
Adam Weber,Tourist,false,true,false
James D. Weston II,Whale Watching Boat Crew,false,true,false
Tanya Wheelock,UC Berkeley Student,false,true,false
Steven Wiig,Pier 39 Fisherman,false,true,false
Shawn Sakhan Yith,Buenos Aires Pedestrian,false,true,false
Bobby Ysip,Fisherman's Wharf Tourist,false,true,false
Perry Zulu Jr.,FBI SWAT #4,false,true,false
