# http://www.amreading.com/2016/09/21/5-batman-graphic-novels-to-kickstart-your-love-for-batman-comic-books/,2016
Ranking,Title
1,Batman: Second Chances
2,Batman: Face the Face
3,Batman: The Black Mirror
4,Batman: Cataclysm
5,Batman: Under the [Red] Hood
