Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Avengers: Age of Ultron,108.2,0.7674,Thor,Ultron,Ultron
Avengers: Age of Ultron,109.27,0.775,Thor,Ultron,Ultron
Avengers: Age of Ultron,109.35,0.7755,Thor,Ultron,Ultron
Avengers: Age of Ultron,113.63,0.8059,Thor,Ultron,Ultron
Avengers: Age of Ultron,113.9,0.8078,Vision,Ultron,Vision
Avengers: Age of Ultron,116.65,0.8273,Vision,Ultron,Ultron
Avengers: Age of Ultron,116.68,0.8275,Vision,Ultron,Vision
Avengers: Age of Ultron,116.8,0.8284,Vision,Ultron,Vision
Avengers: Age of Ultron,116.8,0.8284,Thor,Ultron,Thor
Avengers: Age of Ultron,116.8,0.8284,Iron Man,Ultron,Iron Man
Avengers: Age of Ultron,117.13,0.8307,Hulk,Ultron,Hulk
Avengers: Age of Ultron,118.92,0.8434,Black Widow,Hulk,Hulk
Avengers: Age of Ultron,119.85,0.85,Ultron,Hulk,Ultron
Avengers: Age of Ultron,120.43,0.8541,Ultron,Quicksilver,Quicksilver
Avengers: Age of Ultron,121.65,0.8628,Hulk,Ultron,Hulk
Avengers: Age of Ultron,122.7,0.8702,Scarlet Witch,Ultron,Scarlet Witch
Avengers: Age of Ultron,126.38,0.8963,Vision,Ultron,Vision
