Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Avengers: Age of Ultron,47.55,0.3372,Captain America,Ultron's Mooks,inconclusive
Avengers: Age of Ultron,47.57,0.3374,Captain America,Quicksilver,Quicksilver
Avengers: Age of Ultron,47.73,0.3385,Thor,Quicksilver,Thor
Avengers: Age of Ultron,47.85,0.3394,Iron Man,Ultron,inconclusive
Avengers: Age of Ultron,47.97,0.3402,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,47.98,0.3403,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,48.02,0.3406,Captain America,Klaue's Mooks,Captain America
Avengers: Age of Ultron,48.07,0.3409,Captain America,Quicksilver,Captain America
Avengers: Age of Ultron,48.8,0.3461,Captain America,Klaue's Mooks,Captain America
Avengers: Age of Ultron,48.82,0.3462,Captain America,Quicksilver,Quicksilver
Avengers: Age of Ultron,49.12,0.3484,Hawkeye,Klaue's Mooks,Hawkeye
Avengers: Age of Ultron,49.23,0.3491,Hawkeye,Scarlet Witch,Hawkeye
Avengers: Age of Ultron,49.33,0.3499,Quicksilver,Hawkeye,Quicksilver
Avengers: Age of Ultron,52.47,0.3721,Iron Man,Ultron,Iron Man
Avengers: Age of Ultron,52.72,0.3739,Iron Man,Ultron,Iron Man
Avengers: Age of Ultron,53.48,0.3793,Hulk,cars,Hulk
Avengers: Age of Ultron,53.58,0.38,Hulk,Police Mooks,Hulk
Avengers: Age of Ultron,53.77,0.3813,Police Mooks,Hulk,Hulk
Avengers: Age of Ultron,54.0,0.383,Iron Man's Hulk Trap,Hulk,Iron Man's Hulk Trap
Avengers: Age of Ultron,54.52,0.3867,Iron Man's Hulk Trap,Hulk,Hulk
Avengers: Age of Ultron,54.57,0.387,Hulk,car,Hulk
Avengers: Age of Ultron,54.83,0.3889,Hulk,Police Mooks,Hulk
Avengers: Age of Ultron,55.12,0.3909,Hulk,Iron Man,Hulk
Avengers: Age of Ultron,55.22,0.3916,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,55.25,0.3918,Hulk,Iron Man,Hulk
Avengers: Age of Ultron,55.37,0.3927,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,55.48,0.3935,Hulk,Iron Man,Hulk
Avengers: Age of Ultron,55.55,0.394,Hulk,Iron Man,Hulk
Avengers: Age of Ultron,55.68,0.3949,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,56.02,0.3973,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,56.13,0.3981,Hulk,Iron Man,inconclusive
Avengers: Age of Ultron,56.2,0.3986,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,56.4,0.4,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,56.65,0.4018,Hulk,Iron Man,Hulk
Avengers: Age of Ultron,56.83,0.403,Hulk,Iron Man,Hulk
Avengers: Age of Ultron,57.05,0.4046,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,57.12,0.4051,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,57.37,0.4069,Hulk,Iron Man,Hulk
Avengers: Age of Ultron,57.7,0.4092,Hulk,Iron Man,Hulk
Avengers: Age of Ultron,57.97,0.4111,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,58.98,0.4183,Hulk,Iron Man,Iron Man
Avengers: Age of Ultron,79.0,0.5603,Ultron,Dr. Helen Cho,Ultron
Avengers: Age of Ultron,79.07,0.5608,Ultron,Scientist Mooks,Ultron
Avengers: Age of Ultron,80.65,0.572,Ultron,Captain America,Ultron
Avengers: Age of Ultron,80.75,0.5727,Ultron,Captain America,Ultron
Avengers: Age of Ultron,81.07,0.575,Ultron,Captain America,Ultron
Avengers: Age of Ultron,81.32,0.5767,Ultron,Captain America,inconclusive
Avengers: Age of Ultron,81.45,0.5777,Ultron,Captain America,Captain America
Avengers: Age of Ultron,81.5,0.578,Ultron,Captain America,Ultron
Avengers: Age of Ultron,81.57,0.5785,Ultron's Mook,Captain America,Ultron's Mook
