Character,Frequency
Star-Lord,148
Rocket,91
Gamora,88
Drax,43
Yondu,32
Nebula,23
Ronan,22
Rhomann Dey,17
The Collector,13
Groot,12
novaprime,11
Broker,11
Denarian Saal,9
Kraglin,7
Korath,6
Carina,5
headriotguard,5
novapilot,3
novaarrestingpilot,3
Bereet,3
knowherekid,2
prisonguard,2
kreeambassador,2
Thanos,2
xandarianprisoner,2
Horuz,2
Meredith Quill,2
ravagerpilot,2
Howard the Duck,1
newsreporter,1
knowherecivilian,1
barbouncer,1
ravagernavigator,1
masklesssakaaran,1
Captain America,1
