Character,Frequency
Ant-Man,255
Pym,149
Wasp,91
Luis,86
Yellowjacket,56
Paxton,46
Dave,34
Kurt,29
Cassie Lang,24
Maggie Lang,16
Falcon,14
Dale,11
Mitchell Carson,9
Howard Stark,5
Frank,5
Gale,4
Captain America,4
Peachy,3
computer,3
alphaguard,3
detective,3
Peggy Carter,3
hideousrabbit,2
cellphone,1
policeradio,1
videovoiceover,1
coponspeaker,1
cabdriver,1
voiceoverradio,1
pymtechemployee,1
pymtechgateguard,1
poolbbqdad,1
