Character,Frequency
Thor,358
Hulk,108
Loki,89
Valkyrie,86
Hela,59
Grandmaster,49
Korg,33
Odin,30
Doctor Strange,24
Heimdall,19
Skurge,19
Surtur,14
actorthor,12
actorloki,11
Topaz,10
quinjet,9
soothingvoice,8
collegegirl,4
leadscrapper,3
actorodin,3
Hogun,3
Black Widow,3
warden,2
Cousin Carlo,2
maintitle,1
ableeckerstreet,1
asgardiancitizens,1
asgardianman,1
actorsif,1
asgardianwoman,1
Volstagg,1
# this one is weird:  Stan Lee,1
crowd,1
