Character,Frequency
Thaddeus Ross,15
Abomination,13
Betty Ross,11
Hulk,9
Dr. Samuel Sterns,5
Iron Man,3
Leonard Samson,3
Kathleen Sparr,2
shadowyfigure,1
milwaukeeman,1
