Character,Frequency
Iron Man,60
Iron Monger,31
Ten Rings Mooks,30
Pepper Potts,6
US Aircraft,5
Soldier Mooks,4
Raza,3
Coulson,3
Random Mooks,3
Ten Rings Tank,3
Christine Everhart,3
SHIELD Mooks,2
Yinsen,2
Obadiah's Mooks,1
War Machine,1
